RLP,RLP_Name,EUNIS,EUNIS_angepasst,EUNIS_Name,EUNIS_Name_deutsch,LRT1,LRT2,LRT3,Qualifier_EUNIS_RLP,EAGLE_Biotic_Vegetation,EAGLE_vegetationType,EAGLE_water,EAGLE_MowingTypeValue,EAGLE_GrazingTypeValue,EAGLE_leafFormValue,EAGLE_Trees,EAGLE_wetness,NATFLO_wetness,NATFLO_species_richness,NATFLO_immature_soil,NATFLO_hydromorphic,NATFLO_acidity,NATFLO_saline,NATFLO_heavy_metal,NATFLO_depression,NATFLO_slope,EUNIS_substrate_type,NATFLO_root_penetration,NATFLO_geological_characteristics,EUNIS_geomorphology,NATFLO_slope_position,NATFLO_rows,NATFLO_bog,NATFLO_bosk,NATFLO_usage_intensity,NATFLO_usage,NATFLO_minHeight,NATFLO_maxHeight,NATFLO_geometry,EUNIS_dominant_plant_species,EAGLE_water_regime,EUNIS_water_regime,NATFLO_exposition,NATFLO_trophic_level,adjacency,NATFLO_temperature,NATFLO_minTreeCover,NATFLO_minShrubCover,NATFLO_minVegCover,NATFLO_minOpenSoilCov,EUNIS_altitude_zone,NATFLO_homogeneity,NATFLO_biomass,NATFLO_line_structures,NATFLO_cultivated
FA0,See,C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral,0,,0,0
FB0,Weiher (stetig),C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral,0,,0,0
FC0,"Altarm, Altwasser",C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral/planar/collinar,0,,0,0
FC2,Altwasser (abgebunden),C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral/planar/collinar,0,,0,0
FC3,"Altarm (angebunden, nicht durchstroemt)",C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral/planar/collinar,0,,0,0
FC5,"Auenkolk, Woye",C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral,0,,0,0
FD0,stehendes Kleingewaesser,C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral,0,,0,0
FF0,Teich,C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral,0,,0,0
FF5,Naturschutzteich,C1,C1,Surface standing waters,Stehende Gewaesser,3130,3140,3150,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,littoral/sublittoral,0,,0,0
FS1,Hoehlengewaesser,C1,C1,Surface standing waters,Stehende Gewaesser,8310,,,includedIn,0,water_plants/none,standing_water,,,,0,,aquatic,,0,1,,0,0,1,flat,water,,,surface freshwaters,,0,0,0,,,,,,,perennial,frequently submerged,,,,,Tree canopy cover below 10%,Shrub canopy cover below 10%,Vegetation cover below 30%,,,0,,0,0
